"original canceled date","resurrected canceled date","original created date","resurrected created date","original end date","resurrected end date","original next charge date","resurrected next charge date","original plan","resurrected plan","days to resurrection",student_id,"original subscription ID","resurrected subscription ID"
NULL,NULL,"2021-02-09 19:06:58","2021-02-12 16:15:47","2021-02-10 00:00:00","2022-02-21 00:00:00","2022-02-09 00:00:00","2022-02-12 00:00:00",annually,annually,2,144384,3351,3351
"2021-01-09 02:00:00","2021-03-22 00:00:00","2021-01-28 23:44:10","2021-02-12 17:20:20","2021-02-09 00:00:00","2022-03-12 00:00:00","2021-02-09 02:00:00","2022-03-12 00:00:00",monthly,annually,3,5974,3352,3352
"2021-02-27 00:00:00","2021-08-28 00:00:00","2021-01-30 21:41:33","2021-03-06 12:51:15","2021-02-28 00:00:00","2021-09-06 00:00:00","2021-02-28 00:00:00","2021-09-06 00:00:00",monthly,annually,6,143523,3564,3564
NULL,NULL,"2021-02-24 13:40:17","2021-03-10 15:51:50","2021-03-01 00:00:00",NULL,"2022-02-24 00:00:00","2023-03-10 00:00:00",annually,annually,9,145524,3605,3605
"2021-02-28 00:00:00",NULL,"2021-01-28 23:44:53","2021-03-11 17:23:43","2021-03-09 00:00:00","2021-05-15 00:00:00","2021-03-09 00:00:00","2021-05-11 00:00:00",annually,monthly,2,6131,3616,3616
"2021-02-20 00:00:00",NULL,"2021-01-28 23:44:10","2021-03-16 17:30:30","2021-02-27 00:00:00",NULL,"2021-02-27 02:00:00","2023-03-16 00:00:00",monthly,annually,17,4537,3675,3675
"2021-02-18 00:00:00","2022-03-17 00:00:00","2021-01-28 23:44:10","2021-03-17 16:16:41","2021-02-19 00:00:00","2022-03-17 00:00:00","2021-02-19 02:00:00","2022-03-17 00:00:00",monthly,annually,26,5971,3705,3705
NULL,"2022-03-19 00:00:00","2021-02-09 23:13:01","2021-03-19 04:50:55","2021-03-13 00:00:00","2022-03-19 00:00:00","2021-03-09 00:00:00","2022-03-19 00:00:00",monthly,annually,6,144400,3787,3787
NULL,"2022-03-21 00:00:00","2021-01-28 23:46:34","2021-03-22 18:01:51","2021-02-18 00:00:00","2022-03-22 00:00:00","2021-02-09 02:00:00","2022-03-22 00:00:00",annually,annually,32,9101,3826,3826
NULL,"2021-04-28 00:00:00","2021-02-21 02:40:56","2021-03-28 10:52:40","2021-03-21 00:00:00","2021-04-28 00:00:00","2021-03-21 00:00:00","2021-04-28 00:00:00",monthly,monthly,7,5382,3913,3913
"2021-02-18 00:00:00","2021-11-30 00:00:00","2021-01-28 23:44:53","2021-03-30 18:51:18","2021-03-15 00:00:00","2021-12-30 00:00:00","2021-03-15 00:00:00","2021-12-30 00:00:00",monthly,monthly,15,2501,3925,3925
"2021-02-15 00:00:00","2021-10-01 00:00:00","2021-02-15 18:25:01","2021-04-01 15:33:03","2021-03-15 00:00:00","2021-11-01 00:00:00","2021-03-15 00:00:00","2021-11-01 00:00:00",monthly,monthly,17,1994,3940,3940
NULL,NULL,"2021-02-24 09:02:14","2021-04-03 20:03:49","2021-03-28 00:00:00","2021-05-07 00:00:00","2021-03-24 00:00:00","2021-05-03 00:00:00",monthly,monthly,6,145386,3962,3962
"2020-04-15 03:00:00","2021-04-16 00:00:00","2021-01-28 23:46:06","2021-04-16 11:45:03","2021-04-14 00:00:00","2022-04-16 00:00:00","2021-04-15 03:00:00","2023-04-16 00:00:00",annually,annually,2,15345,4052,4052
"2021-04-15 00:00:00","2021-05-13 00:00:00","2021-03-30 23:52:18","2021-04-26 01:09:34","2021-04-20 00:00:00","2021-05-15 00:00:00","2021-04-30 00:00:00","2021-05-26 00:00:00",annually,annually,6,8855,4122,4122
NULL,NULL,"2021-01-28 23:46:06","2021-04-26 11:59:54","2021-04-23 00:00:00",NULL,"2021-04-14 03:00:00","2023-04-26 00:00:00",annually,annually,3,37860,4123,4123
NULL,"2021-06-21 00:00:00","2021-02-18 00:37:14","2021-04-26 18:25:24","2021-03-18 00:00:00","2021-06-26 00:00:00","2021-03-18 00:00:00","2021-06-26 00:00:00",monthly,monthly,39,18692,4125,4125
"2021-03-13 00:00:00","2021-04-27 00:00:00","2021-01-28 23:46:06","2021-04-27 08:57:25","2021-04-23 00:00:00","2021-05-27 00:00:00","2021-04-23 03:00:00","2021-05-27 00:00:00",annually,monthly,4,14915,4131,4131
NULL,NULL,"2021-01-28 23:46:06","2021-05-01 06:08:00","2021-04-27 00:00:00",NULL,"2021-04-18 03:00:00","2023-05-01 00:00:00",annually,annually,4,10131,4153,4153
"2021-02-20 00:00:00","2021-06-29 00:00:00","2021-01-28 23:44:10","2021-05-01 16:39:41","2021-02-21 00:00:00","2021-07-01 00:00:00","2021-02-21 00:00:00","2021-07-01 00:00:00",monthly,monthly,69,804,4158,4158
"2021-04-20 00:00:00","2021-06-01 00:00:00","2021-01-28 23:46:06","2021-05-03 17:44:24","2021-04-22 00:00:00","2021-06-03 00:00:00","2021-04-22 03:00:00","2021-06-03 00:00:00",annually,monthly,11,3850,4174,4174
"2021-03-22 00:00:00",NULL,"2021-01-28 23:46:06","2021-05-04 04:00:48","2021-04-21 00:00:00",NULL,"2021-04-21 03:00:00","2023-05-04 00:00:00",annually,annually,13,14633,4182,4182
NULL,NULL,"2021-01-28 23:46:06","2021-05-11 21:49:49","2021-05-07 00:00:00",NULL,"2021-04-28 03:00:00","2023-05-11 00:00:00",annually,annually,4,9188,4233,4233
"2021-02-10 00:00:00","2022-05-16 00:00:00","2021-01-28 23:44:10","2021-05-16 05:57:17","2021-03-10 00:00:00","2022-05-17 00:00:00","2021-03-10 00:00:00","2023-05-16 00:00:00",monthly,annually,67,4132,4251,4251
"2021-04-22 00:00:00","2022-04-07 00:00:00","2021-01-28 23:46:06","2021-05-17 07:43:00","2021-04-23 00:00:00","2022-05-17 00:00:00","2021-04-23 03:00:00","2022-05-17 00:00:00",annually,annually,24,2917,4262,4262
"2021-02-27 00:00:00","2021-05-21 00:00:00","2021-01-28 23:44:53","2021-05-17 08:26:04","2021-02-28 00:00:00","2021-06-17 00:00:00","2021-02-28 00:00:00","2021-06-17 00:00:00",monthly,monthly,78,2930,4263,4263
NULL,NULL,"2021-03-19 08:50:59","2021-05-24 01:06:33","2021-04-23 00:00:00","2022-08-28 00:00:00","2021-04-19 00:00:00","2022-08-24 00:00:00",monthly,annually,31,146625,4303,4303
"2021-04-19 00:00:00",NULL,"2021-01-28 23:46:06","2021-05-28 15:39:16","2021-04-21 00:00:00",NULL,"2021-04-21 03:00:00","2023-05-28 00:00:00",annually,annually,37,5334,4369,4369
"2020-02-02 02:00:00","2021-05-30 00:00:00","2021-01-28 23:46:34","2021-05-30 03:49:20","2021-02-01 00:00:00","2022-05-30 00:00:00","2021-02-02 02:00:00","2022-05-30 00:00:00",annually,annually,118,2851,4398,4398
"2021-05-31 00:00:00",NULL,"2021-04-29 20:56:08","2021-05-31 10:44:18","2021-05-29 00:00:00","2021-10-04 00:00:00","2021-05-29 00:00:00","2021-09-30 00:00:00",monthly,monthly,2,149617,4446,4446
